Symbol	UlPxChange	YieldRate
sz000001	-0.02346227	-0.211957607
sz000002	-0.094660194	-0.320570177
sz000009	-0.341978287	0.236813925
sz000012	-0.539634146	-0.106951503
sz000021	-0.564146134	-0.134229081
sz000024	0.125	-0.233330164
sz000039	-0.445689655	-0.145575235
sz000046	-0.512965051	-0.473482952
sz000059	-0.399215686	0.081707458
sz000060	-0.643104944	-0.024120914
sz000061	-0.374717833	-0.161561501
sz000063	-0.380514706	-0.01579018
sz000069	-0.41557377	-0.521054671
sz000100	-0.468023256	-0.089745838
sz000157	-0.456028369	0.071603875
sz000338	-0.398470363	0.048846281
sz000401	-0.308872305	-0.003107432
sz000402	-0.087481146	-0.145028734
sz000422	-0.069583553	0.423210956
sz000423	-0.164421012	0.074841001
sz000425	-0.770645161	-0.027147768
sz000527	-0.294320138	-0.201155638
sz000528	-0.685529507	-0.24794297
sz000538	-0.11974755	-0.151560016
sz000559	-0.601127555	-0.065514785
sz000562	-0.362826603	-0.364169644
sz000568	-0.090953426	-0.045987057
sz000581	-0.049867374	0.293403815
sz000623	-0.40571262	-0.251427276
sz000625	-0.601890756	-0.456500429
sz000629	-0.466437177	-0.005914036
sz000630	-0.530726257	-0.004508157
sz000651	-0.052892562	-0.15088038
sz000680	-0.501941209	0.037273862
sz000686	-0.438405797	-0.390218487
sz000703	-0.341703057	0.294632787
sz000709	-0.232620321	0.00911494
sz000718	-0.438370847	-0.140587367
sz000725	-0.460567823	-0.234362813
sz000728	-0.301392301	-0.353092389
sz000729	-0.288724974	-0.086334024
sz000758	-0.475609756	0.116922544
sz000768	-0.402629417	-0.162553184
sz000776	-0.603766478	-0.519110616
sz000778	-0.291251384	0.25591656
sz000780	-0.344585987	-0.285773434
sz000783	-0.368374558	-0.252920947
sz000792	-0.522835821	0.220187881
sz000800	-0.446182728	0.217357672
sz000807	-0.592715232	-0.193827242
sz000825	-0.300934579	-0.207608497
sz000839	-0.440167364	0.172944612
sz000858	-0.05887421	0.085929355
sz000869	0.13555041	0.020052413
sz000876	-0.212264151	0.102725744
sz000878	-0.444943045	-0.261261264
sz000895	-0.197126437	-0.015287142
sz000898	-0.409326425	-0.103375884
sz000933	-0.641414141	-0.245369843
sz000937	-0.608139535	-0.559255006
sz000960	-0.465304896	-0.121556065
sz000961	-0.255004352	-0.196865897
sz000968	-0.473781388	-0.252326446
sz000969	-0.283059637	0.061402958
sz000983	-0.482819695	-0.315107671
sz000999	-0.322529644	-0.174813981
sz002001	-0.232227488	0.092159088
sz002007	-0.476744186	-0.056097813
sz002024	-0.360030511	-0.073112572
sz002038	-0.441915761	0.137484986
sz002069	-0.430690774	-0.385272575
sz002073	-0.434082397	0.032634944
sz002081	-0.494875549	-0.129317044
sz002092	-0.483425414	-0.114255747
sz002106	-0.742153846	-0.317237243
sz002122	-0.511680482	0.075540943
sz002128	-0.486009966	-0.270815313
sz002142	-0.257305195	-0.302250923
sz002146	-0.345724907	-0.381755416
sz002155	-0.453703704	0.061254895
sz002202	-0.653553867	-0.198280662
sz002241	-0.56043956	0.105655506
sz002299	-0.591273129	0.050513215
sz002304	-0.44025974	-0.299298218
sz002310	-0.367929348	0.087302934
sz002344	-0.585745694	0.209622282
sz002353	-0.514345696	-0.468824721
sz002378	-0.399470899	0.03416205
sz002385	-0.196538937	0.00950317
sz002399	-0.820773192	-0.468601223
sz002405	-0.637871957	-0.120296942
sz002415	-0.54313099	-0.394497123
sz002422	-0.722825393	-0.193731877
sz002431	-0.734213421	-0.395306396
sz002493	-0.734792055	0.066222435
sz002500	-0.469186524	-0.501248925
sz002570	-0.402429953	0.039252776
sz002594	-0.017672414	-0.108455735
sz002603	-0.095215649	-0.048364619
sh600000	-0.313662086	-0.139916317
sh600005	-0.326340326	-0.246961671
sh600009	-0.009700889	-0.15979377
sh600010	0.08707124	0.333980817
sh600011	-0.054577465	0.023448307
sh600015	0.031221304	-0.071960219
sh600016	0.175298805	0.005440399
sh600019	-0.239811912	-0.116741632
sh600022	-0.030898876	0.210576693
sh600028	-0.107806691	-0.06716199
sh600029	-0.516819572	0.007829733
sh600030	-0.233622731	-0.22216012
sh600031	-0.420249653	-0.223448103
sh600036	-0.076863354	-0.141915941
sh600037	-0.366666667	-0.17975259
sh600048	-0.220155039	-0.217658805
sh600050	-0.027777778	-0.141008122
sh600058	-0.327194598	0.048433811
sh600062	-0.45432357	-0.179282451
sh600066	0.123994321	-0.173979582
sh600068	-0.341880342	0.046559528
sh600085	-0.586186541	-0.252525652
sh600089	-0.588235294	-0.345468753
sh600096	-0.446508172	-0.035214562
sh600100	-0.668174962	-0.434423315
sh600104	-0.034812287	0.254849178
sh600108	-0.258698941	-0.20504411
sh600109	-0.323549488	-0.589334036
sh600111	-0.475174338	-0.167837516
sh600115	-0.429429429	-0.250826499
sh600118	-0.184147318	0.01528436
sh600123	-0.204498978	0.160283367
sh600125	-0.353146853	-0.151083764
sh600132	-0.483947034	0.203843955
sh600143	-0.19900806	-0.22378965
sh600150	-0.616715976	-0.09139831
sh600153	-0.033587786	0.105781441
sh600160	-0.111897391	0.266905022
sh600166	-0.760412371	0.281957136
sh600169	-0.733489461	-0.526866816
sh600170	-0.391632373	-0.076737485
sh600177	-0.143767061	-0.096331748
sh600183	-0.366432337	-0.179068823
sh600188	-0.238648003	-0.08365006
sh600196	-0.365727003	-0.093251238
sh600208	-0.432835821	-0.1395808
sh600216	-0.395320571	-0.047139719
sh600219	-0.353783231	0.094164381
sh600221	-0.495495495	-0.064676652
